cm-1,laser-disk-center_CB-5e-3_0-s,laser-disk-center_CB-5e-3_1-s,laser-disk-center_CB-5e-3_3-s,laser-disk-center_CB-5e-3_4-s,laser-disk-center_CB-5e-3_5-s
1155.171,0.14998702894393204,0.15397269810398015,0.15354255057254756,0.1474871052490629,0.15430720917648352
1156.135,0.14886373111302265,0.15283084602710426,0.1524402488890706,0.14637989427269593,0.15317916799370151
1157.099,0.14783767891808164,0.15177572850901253,0.15142540532234586,0.14537189995041866,0.1521500218264304
1158.063,0.14689464450251635,0.15080425304679024,0.15049404804891894,0.1444598770951778,0.15121187377968648
1159.028,0.14602256992647045,0.14991506597418514,0.14964520017122093,0.14363635476322859,0.15035955905079473
1159.992,0.14521759899065517,0.14910721468008997,0.14887953059259537,0.14289242750061787,0.14958846248602023
1160.956,0.1444836093598795,0.14837755825215085,0.14819308370074097,0.14221995820603572,0.14889200428245483
1161.92,0.14382845502151906,0.14772311767838361,0.1475776528621433,0.14161625224306099,0.14826330651545516
1162.885,0.1432571790701509,0.1471426518403095,0.14702282675549438,0.14108238549846103,0.14769742987585122
1163.849,0.1427678054265217,0.1466374798322611,0.1465232015612079,0.14062072670366513,0.14719474273189806
1164.813,0.14235055187007217,0.1462088008262969,0.1460774783555384,0.14022965724276082,0.1467576086310281
1165.777,0.1419937515828142,0.1458540614014215,0.1456862997977174,0.13990570011790227,0.14638724480185566
1166.742,0.14168787718526837,0.1455649830603902,0.14534640891816258,0.13964152688489545,0.14607882421186769
1167.706,0.1414277106365024,0.14532875715938373,0.14505170299776757,0.13943203275726454,0.1458252446652173
1168.67,0.14121180630885577,0.14513327511727162,0.1447960339678456,0.1392697447061715,0.14561816957797583
1169.634,0.14103766021134764,0.14496741494781373,0.14457528397700906,0.13914573818014805,0.14544760750501587
1170.599,0.1408984757312677,0.14482235813283897,0.14438307004317433,0.13904587410596086,0.14530004092100982
1171.563,0.14077967482483297,0.14468694352555156,0.14420683704262355,0.13895363339030906,0.1451568777899549
1172.527,0.14066561131981417,0.14455314727878932,0.14403170342097155,0.13885962937762492,0.14500394981248713
1173.491,0.14054470376617678,0.14441671360760117,0.14384613310782932,0.1387633986103646,0.14483797376488516
1174.456,0.1404170408939685,0.14428201637754176,0.14365005051535423,0.1386731415961298,0.14466886750153177
1175.42,0.140292091977847,0.14415829631093663,0.14345306958557713,0.13859766693994996,0.14451257263580905
1176.384,0.14018431627112588,0.14405381457168426,0.14326954254328503,0.13853897450646832,0.1443812716349059
1177.348,0.1401007994495992,0.14396715264809332,0.14310811437844373,0.13848773407532983,0.14427465327192668
1178.313,0.14003901128950394,0.143890029232122,0.1429697306885371,0.13842910877507372,0.1441821418394891
1179.277,0.1399857436528927,0.1438100668940898,0.14284414763767023,0.13834942392766866,0.144087809695703
1180.241,0.13992344180672223,0.14371906967761192,0.1427163064141324,0.13824502782744805,0.14397898681679577
1181.205,0.13983386560058608,0.14361099431558355,0.1425706405765811,0.1381212812630284,0.14384743665100375
1182.17,0.139703215239877,0.14347869347648398,0.14239483537823316,0.13798568694923216,0.143689120950004
1183.134,0.13952223997102406,0.14331069952416017,0.14218168638065057,0.1378378437342544,0.143499492442471
1184.098,0.13928468108528105,0.14309294241327808,0.1419282832876497,0.13766688362199384,0.14327176755434368
1185.062,0.1389862134086596,0.1428137610756783,0.14163453861879677,0.13745368238611455,0.14299606805942122
1186.027,0.1386248169254015,0.1424680217131466,0.1412991763333739,0.1371791702532398,0.14266444872453188
1186.991,0.13819915364365198,0.14205481320799118,0.14091604540598185,0.13682964828025823,0.14226925062214255
1187.955,0.13770800056462562,0.14157405234082238,0.14047227542915638,0.1363972608345748,0.14180411381676908
1188.919,0.13714902443324867,0.14102156844488675,0.13995075206546384,0.13587986383040043,0.14126156598440315
1189.884,0.13651585047165632,0.14038794251071418,0.13933521580483652,0.13527533748516554,0.1406326419917325
1190.848,0.13579712617497242,0.1396620794673956,0.13861557487507445,0.1345794894457114,0.1399074770022733
1191.812,0.1349801028736493,0.1388330567825367,0.13778830365245248,0.13378405723648473,0.1390775872953467
1192.776,0.13405126411070667,0.13789046178821251,0.13685048171463454,0.13287849363047013,0.13813487784284742
1193.741,0.13300073402796045,0.13682402336641644,0.13579595368337383,0.13185160807717672,0.13707182612505675
1194.705,0.13182524360914682,0.13562542882766962,0.13461924427202174,0.13069747198451673,0.1358829563948628
1195.669,0.13052584434240866,0.13429172745036086,0.13331825792888183,0.12941460217126835,0.13456674696733675
1196.633,0.12910794300045486,0.13282836692408762,0.1318984562349783,0.1280072583247839,0.13312679266855335
1197.598,0.12757273211109624,0.13124431191906089,0.1303643136467081,0.1264767375330731,0.1315674863451839
1198.562,0.12591646089084269,0.12954529609792445,0.12871257650034343,0.12481922881409521,0.12988850556308723
1199.526,0.1241292242812701,0.1277284813049951,0.12692972886036774,0.12302501853487331,0.1280836008209824
1200.49,0.12220146120724293,0.1257830292813587,0.12500201503180872,0.1210863701742503,0.1261452714901291
1201.455,0.1201296964253939,0.12369861031665047,0.12292351128560455,0.11900266721597971,0.12406862554164531
1202.419,0.1179165837287493,0.12147108620790674,0.12069964001106363,0.11678131485622348,0.12185416322625828
1203.383,0.1155697174990652,0.11910536363251574,0.11834167981852202,0.11443233118981223,0.11950469163273693
1204.347,0.11309911437853863,0.11661222435380353,0.11585877219291814,0.1119624968464663,0.11702431507232629
1205.312,0.1105132781058065,0.11400301450877588,0.11325477628234974,0.10937400485330324,0.11441782081288897
1206.276,0.10782254756520811,0.11128900412945734,0.11053371459724963,0.10667066966487156,0.11169660827033873
1207.24,0.10504222772226626,0.10848414987408207,0.10770949325582568,0.10386468143900587,0.10887919273751565
1208.204,0.10218899391954996,0.1056029503339465,0.10480454228492865,0.10097600504424713,0.10598810490598266
1209.169,0.09928201990466623,0.10266197131059489,0.1018463179545512,0.09802691295783834,0.10304536870578153
1210.133,0.0963395572966378,0.09967518008268629,0.09885829568056986,0.0950385498112851,0.10006668771137649
1211.097,0.09337827596246484,0.09665843336276096,0.09585715511926132,0.0920286680609897,0.09706528331085723
