cm-1,CB-5e-3_0,no-agent_0,CB-5e-3_60,no-agent_60,CB-5e-3_300,no-agent_300,CB-5e-3_3600,no-agent_3600
2147.383,-0.08582230168206818,0.03789998470701695,-0.07404944320158527,-0.05968028608327737,-0.07580758459924412,-0.06044508767011772,-0.055863003201900074,-0.05249480525726292
2148.347,-0.0855943426644247,0.037917252844819775,-0.07377993082499178,-0.05939608275845757,-0.075840072419604,-0.0607158316357037,-0.055977220333573885,-0.0527210147730871
2149.312,-0.08545732457439693,0.03788678135624284,-0.07354274842601202,-0.0591834744367779,-0.07597680184397716,-0.060954987954710986,-0.05611110967348981,-0.05301303990943958
2150.276,-0.08545457491698033,0.037777147419574775,-0.07337256258183548,-0.059110798021893986,-0.07625914931324847,-0.06118806423015556,-0.05632982200487113,-0.05338369884268624
2151.24,-0.0855923664590298,0.037565980292019276,-0.073313382759547,-0.05921003834576637,-0.0767090292216661,-0.061447127843446754,-0.05670204744773878,-0.05381598911914433
2152.204,-0.08586197125571329,0.037228084059653686,-0.07341055162118454,-0.05947327545379712,-0.07733610158877498,-0.06176307235672749,-0.05726786734793959,-0.05428349876394528
2153.169,-0.08626302741663534,0.03674766082679195,-0.0736949010542434,-0.05986370322000128,-0.07813099637093451,-0.062165389553770274,-0.05802304003693595,-0.054773739580316526
2154.133,-0.08680838559878036,0.03610911449568558,-0.07416311912178737,-0.06034618269483226,-0.07906128605716273,-0.06266839662725104,-0.05891522623117407,-0.055296117687592336
2155.097,-0.0874841626931533,0.03532642678058229,-0.07476536889142328,-0.060874171580547705,-0.0800634711839553,-0.06326953839378106,-0.0598486597111425,-0.055861267273490285
2156.061,-0.08821665723715424,0.0344773187157332,-0.07540499372904823,-0.06139020254794241,-0.08102019145505743,-0.06393459717114992,-0.06069561297352033,-0.05644946440314588
2157.026,-0.08886055604521996,0.03371798190483742,-0.07594702518769532,-0.061819717109770654,-0.08178146446029781,-0.06459020415164289,-0.06133268321781863,-0.05699999283139507
2157.99,-0.0892426271521598,0.033244679256345125,-0.07624903945388334,-0.06207842407309264,-0.08220090952165632,-0.06513876221741098,-0.06168954039670254,-0.057432065389358605
2158.954,-0.08924797745330074,0.03319740088239413,-0.07620812791086069,-0.06211302231676736,-0.08220329033954053,-0.06549536510818153,-0.061773263183767475,-0.057681666035939626
2159.918,-0.08887610314044514,0.0335832097108003,-0.07580417685687378,-0.061915300736881194,-0.0818311621927921,-0.06563104840825823,-0.06166110807040395,-0.05773821161119272
2160.883,-0.08823146990775334,0.03426816956755367,-0.07511517468827372,-0.061523985658477005,-0.08123616284375192,-0.06558229918376667,-0.06145571236398289,-0.05765213796511802
2161.847,-0.08747026184443302,0.03505789138219602,-0.07428702205064319,-0.0610016083292141,-0.0806071402396663,-0.0654171104904187,-0.06123536702481221,-0.05750101411509737
2162.811,-0.0867158764794509,0.035792983612303535,-0.0734743274576536,-0.06042023167077559,-0.0800972388254164,-0.06519727625724947,-0.06103594632782381,-0.05734997190951218
