cm-1,CB-5e-3_0,CB-5e-3_1,CB-5e-3_5,CB-5e-3_10,CB-5e-3_20,CB-5e-3_30,CB-5e-3_120
529.3729,-0.24968284989999248,-0.11810375937054418,-0.22484553593260564,-0.24432967832946242,-0.26872954758703244,-0.21497485631233257,-0.11358764233480408
530.3371,-0.2597941190138054,-0.1277390970957631,-0.23507894469383162,-0.25522167974815174,-0.28093550408475226,-0.22449251125436528,-0.11643846376969667
531.3013,-0.2704309951362155,-0.13796640597761461,-0.24576416236622142,-0.26644235073947325,-0.29380438948165816,-0.23427508455094712,-0.11950387759399352
532.2656,-0.28173246877821106,-0.14872412413107397,-0.2571327342585357,-0.27799556621819715,-0.30736364417664197,-0.24444057447366188,-0.12324713906449358
533.2299,-0.2937965784999285,-0.15991674036246853,-0.26938866822376106,-0.2900517875250737,-0.32165071166436193,-0.25508397099056135,-0.12800280995067703
534.1941,-0.3065715703334297,-0.1714997913436837,-0.28264215012878435,-0.30285164337642284,-0.3367440987314348,-0.2662486058402026,-0.13367311830509818
535.1583,-0.31981853510967945,-0.18351643057549313,-0.2968451696449524,-0.31655386564125787,-0.3527255427362619,-0.27798389419737873,-0.13967571706380005
536.1226,-0.33322705157184423,-0.1960897110264684,-0.31183870156954824,-0.33115108849060093,-0.36961010670632,-0.2904110289873397,-0.1453342212021093
537.0869,-0.3466633251158886,-0.20934969501149214,-0.327406086679197,-0.3465185815598195,-0.3872971369231207,-0.30374350823488067,-0.15057448441211616
538.0511,-0.36031810022073907,-0.22341214294691356,-0.34344914168917506,-0.36254453086684885,-0.40564374869966824,-0.3181258050542015,-0.1561161336938426
539.0153,-0.37465606872269036,-0.23837253062566627,-0.3600709518396842,-0.37923378878243724,-0.42458984561626184,-0.3335262447940592,-0.16300807517197102
539.9796,-0.39017839635750245,-0.254284737972424,-0.37757615924617355,-0.39673758171005175,-0.444273836266461,-0.34977958909142376,-0.1719271068466655
540.9438,-0.40535047884337544,-0.2695946371467774,-0.3942157389852909,-0.4133075550871713,-0.4632307925749564,-0.3650938751393273,-0.18141838489310463
541.9081,-0.42184273189844873,-0.28573737410554284,-0.4120347075861704,-0.4309534282230294,-0.4832836911694067,-0.3809620597558573,-0.1915563481435041
542.8723,-0.4394383973254333,-0.3026065342274527,-0.4308171267012427,-0.4496647283750036,-0.5044770205263132,-0.3974500411692972,-0.20092641788339496
543.8366,-0.4579091628707899,-0.32010476548040917,-0.4501935474801347,-0.46930845171178975,-0.5268049422629327,-0.41465461058859604,-0.20840127426678015
544.8008,-0.47714427367578705,-0.3382083493693194,-0.4699311270376353,-0.48975473622487065,-0.5503667088858956,-0.43266396084634573,-0.21364761165796414
545.7651,-0.4971221940734492,-0.3569746350912737,-0.490153856012309,-0.5109459818298229,-0.5753989695090495,-0.4515508212919671,-0.21726097512929715
546.7293,-0.5178418985558252,-0.37657708626710085,-0.5112931785738112,-0.5329785377587726,-0.602071815682972,-0.4714300635147323,-0.22055841235017218
547.6936,-0.5393430400970285,-0.3972157170718382,-0.5338630791715391,-0.5559651605406205,-0.6303618938766916,-0.4924400092212501,-0.22507343897640708
548.6578,-0.5617975621968803,-0.4191362086337618,-0.5582748174525911,-0.580034315818201,-0.6600317765253281,-0.5147689390637594,-0.23202020295093848
