cm-1,CB-5e-4_0,CB-5e-4_30,CB-5e-4_120,CB-5e-4_9001
952.7027,0.3003668374647858,0.3027582501812317,0.31220247877280494,0.3064007230425913
954.6313,0.32374002362001725,0.32691137997965886,0.3378164144569562,0.331716317501422
956.5598,0.3485968755652778,0.35423535740852286,0.3665171118967928,0.3601501601071193
958.4883,0.3751349546141559,0.3850186471577834,0.39862471890928913,0.39202216792421174
960.4169,0.4038139555787679,0.4196394772164,0.4345576425484752,0.4277415367773349
962.3455,0.43531874423275513,0.4585501813054201,0.47481236238468627,0.46778735479862776
964.274,0.470475896799979,0.5022502372383943,0.5199255372651492,0.512679955913575
966.2026,0.5101552040193579,0.5512540177757745,0.5704420959343686,0.5629503367612224
968.1311,0.5551876462602926,0.6060774974890943,0.6268963215504663,0.6191286427312417
970.0596,0.6063239808298309,0.6672400992229441,0.6898275090159812,0.6817574426853016
971.9882,0.6642435584673712,0.7352984035911947,0.7598096443605168,0.7514223647035035
973.9167,0.7295964891131524,0.8108775234290381,0.83749652082695,0.8287879406602453
975.8453,0.8030582872826183,0.8946980873719753,0.9236439524755207,0.9146202492272884
977.7739,0.8853743765069914,0.9875800658907737,1.0191112836322682,1.0097885942773683
979.7024,0.9773798286965496,1.0904260028986075,1.1248354605550919,1.1152385906087485
981.6309,1.0800002079889046,1.2041957369429828,1.241791513109053,1.2319674234555587
983.5595,1.1942297483422066,1.329881658001286,1.3709510721812452,1.3609826774439535
985.488,1.3210986021699467,1.468489309857582,1.513250851023815,1.503280180404273
987.4166,1.4616059095076273,1.6210003064736647,1.6695434632506416,1.6597956007401609
989.3452,1.6166089043671805,1.7883014542114355,1.8405148023577385,1.8313207006645578
991.2737,1.7866376918037299,1.97102683883611,2.0265085911176217,2.018328604513069
993.2022,1.9716069049319493,2.169268981299638,2.227222502221482,2.2206723916197686
995.1307,2.1704167339348954,2.3821456734541226,2.4412256435817943,2.437110908678206
997.0593,2.3804555690399005,2.6071874771277113,2.6653071598475377,2.664673454898083
998.9879,2.5970365101590334,2.839591670908535,2.8936710831747354,2.8978632630757457
1000.916,2.8128924107730464,3.0714230081148677,3.1171730426247097,3.127875396468173
1002.845,3.0179309717348453,3.2910772292519788,3.3229790143488604,3.342149353447796
1004.773,3.1996664977676263,3.4835667725047412,3.495381907462152,3.5249944932412705
1006.702,3.3447553892146518,3.6324525751667927,3.6184952149584633,3.660029432881823
1008.631,3.441775325797489,3.7237288194288185,3.680745359370285,3.734570462935727
1010.559,3.4845238490915307,3.750569095172652,3.679227638176798,3.7442648649580694
1012.488,3.4742068783752944,3.716158995752682,3.621125863617964,3.695054871971448
1014.416,3.419107902513936,3.632570562981334,3.5210524080996883,3.6009416985864657
1016.345,3.3319222902026597,3.5164391569804923,3.3962182354398434,3.479167524209648
1018.273,3.2263074090594137,3.384273612598989,3.2622321449421143,3.3457653045038214
1020.202,3.114217671905107,3.249478776759623,3.130952873427291,3.2131290698926085
1022.13,3.0046097745148144,3.121397047931084,3.0101115499112843,3.089487325667032
1024.059,2.9032676692672177,3.0056075810022422,2.9039047034243715,2.97944376899076
1025.988,2.81325662016194,2.9047675929037706,2.813896324395127,2.8848922799387204
1027.916,2.735646537589997,2.8195082149364095,2.7399171521389563,2.8059350924845465
1029.845,2.6702217585832324,2.749213290403467,2.6807920520942874,2.741614954776998
1031.773,2.616107114280702,2.692593371436964,2.634885691080588,2.6904686131341773
1033.702,2.572215524463783,2.648085698390537,2.600441361604005,2.6508617234825516
1035.63,2.5375140033764048,2.614065463801531,2.5757637445817823,2.621152179373325
1037.559,2.5111017882433893,2.5889472854443105,2.559240353744335,2.5997318226238457
1039.487,2.4921546529183587,2.57118266142725,2.5493243846802436,2.5850097734911293
1041.416,2.4798156561046056,2.559251055216172,2.5444798519706238,2.575394776568555
1043.344,2.4730964667139923,2.5516631684962956,2.543190304859107,2.569335602184506
1045.273,2.470836016015404,2.546998336394412,2.5440032482070123,2.5653816655176658
1047.202,2.4717393889682624,2.5439668661831183,2.5456077621359037,2.562278323802098
1049.13,2.4744561181752656,2.5414734073792546,2.546901522239565,2.5590190423453114
1051.059,2.4776796690506564,2.538619905840787,2.547003540122419,2.554833958359524
1052.987,2.4802161339157958,2.5346877149754206,2.5452195191222153,2.5491197464482602
1054.916,2.481015898360187,2.5290541630865313,2.5409563697174025,2.5413363608974415
1056.844,2.4791722844163795,2.5211306336295642,2.5336535792658976,2.530925750430566
1058.773,2.4739134502499835,2.510324227413951,2.522762246607514,2.5173066894236795
1060.701,2.46460581529033,2.4960564408168513,2.507773642381492,2.499906954313283
1062.63,2.4507697086859213,2.4777997154874076,2.488271826184005,2.47825052489222
1064.558,2.4320837691315207,2.4551309063938707,2.463969935397643,2.4520006384911643
1066.487,2.408369191674727,2.427733132173489,2.4347037236230205,2.420955208368393
1068.416,2.3795298349949108,2.3953831882682333,2.400367539902162,2.384989611951387
1070.344,2.345490089554664,2.357890544147243,2.3608513461472587,2.3439913107208414
1072.273,2.3061291970309465,2.3150780041860517,2.3159956396402626,2.29781024600403
1074.201,2.261273493714157,2.2667678685313164,2.265615417571858,2.246285891195335
1076.13,2.210727515417325,2.2128287981007366,2.209561861414045,2.18930324378914
1078.058,2.1543487231952283,2.15321964590643,2.147806636537156,2.126874617636492
1079.987,2.0921159616308227,2.0880364181046573,2.080500142571505,2.059175605232015
1081.915,2.0241742789763677,2.0175178260023707,2.0079696393302324,1.986541816336868
1083.844,1.9508558667338398,1.942049748231853,1.9307010955516264,1.9094385031070946
1085.773,1.872657397713419,1.8621439310443948,1.8492945255509499,1.8284222911081542
1087.701,1.7902215829859462,1.7784329621414439,1.764437108113281,1.7441216271437456
1089.63,1.7043237437967536,1.6916772121136083,1.6769103299611607,1.657265663359894
1091.558,1.6158586114237854,1.6027657114754865,1.5875935998956545,1.5686924395410404
